电影名	评分	评价人数	链接	时间	演员																			
大佛普拉斯	8.6	(97073人评价)	https://movie.douban.com/subject/27059130/	2017-06-29(台北电影节),2017-10-13(台湾)	['庄益增', '陈竹昇', '戴立忍', '张少怀', '陈以文', '纳豆', '丁国琳', '李永丰', '朱约信', '雷婕熙', '林美秀', '小亮哥', '游安顺', '梁赫群', '脱线', '郑宇彤', '鲁文学', '台湾', '黄信尧', '102分钟', '剧情', '喜剧', '黄信尧...']
幸福终点站	8.7	(252133人评价)	https://movie.douban.com/subject/1292274/	2004-06-18(美国),2005-01-14(中国大陆)	['汤姆·汉克斯', '凯瑟琳·泽塔-琼斯', '斯坦利·图齐', '齐·麦克布赖德', '迭戈·卢纳', '巴里·沙巴卡·亨利', '库玛·帕拉纳', '佐伊·索尔达娜', '埃迪·琼斯', '祖德·塞克利拉', '科瑞·雷诺兹', '古列雷莫·迪亚兹...']
银河护卫队	8.0	(285381人评价)	https://movie.douban.com/subject/7065154/	2014-07-21(洛杉矶首映),2014-08-01(美国)	['2014-10-10(中国大陆)', '克里斯·帕拉特', '佐伊·索尔达娜', '布莱德利·库珀', '范·迪塞尔', '戴夫·巴蒂斯塔', '李·佩斯', '迈克尔·鲁克', '凯伦·吉兰', '杰曼·翰苏', '本尼西奥·德尔·托罗', '约翰·C·赖利...']
荒蛮故事	8.8	(165935人评价)	https://movie.douban.com/subject/24750126/	2014-05-17(戛纳电影节),2014-08-21(阿根廷)	['达里奥·格兰迪内蒂', '玛丽娅·玛努尔', '莫妮卡·比利亚', '丽塔·科尔泰塞', '胡丽叶塔·泽尔贝伯格', '凯撒·博尔东', '莱昂纳多·斯巴拉格利亚', '沃尔特·多纳多', '里卡多·达林', '南希·杜普拉', '...']
天下无贼	7.7	(257673人评价)	https://movie.douban.com/subject/1291550/	2004-12-09(中国大陆),2004-12-09(香港)	['刘德华', '刘若英', '王宝强', '李冰冰', '葛优', '张涵予', '尤勇', '徐帆', '傅彪', '范伟', '冯远征', '林家栋', '中国大陆', '香港', '冯小刚', '113分钟', '100分钟', '动作', '犯罪', '剧情', '王刚', 'Gang', 'Wang', '林黎胜', 'Lisheng...']
低俗小说	8.8	(388236人评价)	https://movie.douban.com/subject/1291832/	1994-05-12(戛纳电影节),1994-10-14(美国)	['约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫', '蒂姆·罗斯', '塞缪尔·杰克逊', '菲尔·拉马', '布鲁斯·威利斯', '弗兰克·威利', '布尔·斯蒂尔斯', '文·瑞姆斯', '劳拉·拉芙蕾丝', '保罗·考尔德伦...']
伯德小姐	7.9	(142930人评价)	https://movie.douban.com/subject/26588314/	2017-09-01(特柳赖德电影节),2017-11-03(美国)	['西尔莎·罗南', '劳里·梅特卡夫', '崔西·莱茨', '卢卡斯·赫奇斯', '蒂莫西·柴勒梅德', '比妮·费尔德斯坦', '罗伊丝·史密斯', '斯蒂芬·亨德森', '奥德娅·拉什', '乔丹·罗德里格斯', '凯瑟琳·纽顿...']
生活大爆炸  第一季	9.4	(197831人评价)	https://movie.douban.com/subject/2156528/	2007-09-24(美国)	['吉姆·帕森斯', '约翰尼·盖尔克奇', '凯莉·库柯', '西蒙·赫尔伯格', '昆瑙·内亚', '莎拉·吉尔伯特', 'DJ·考尔斯', '考特尼·海根勒', '莎拉尤·拉奧', '布鲁克·朵赛', '布瑞恩韦德', '马克·哈雷利克', '美国', 'www.cbs.com', 'shows', 'big_bang_theory', '...']
0.5毫米	8.2	9027	https://movie.douban.com/subject/21767183/	2014-11-08(日本)	['安藤樱', '织本顺吉', '木内みどり', '土屋希望', '井上竜夫']																			
0.5的爱情	4.3	2866	https://movie.douban.com/subject/25746519/	2014-09-12(中国大陆)	['蒲巴甲', '江语晨', '李悦铭', '龚洁', '中国大陆']																			
0.7%的盐	7.7	104	https://movie.douban.com/subject/19969222/	钟欣潼	['香港', '蒋志', '8分钟', '0.7%的盐', '舞台艺术']																			
007之你死我活	6.7	3803	https://movie.douban.com/subject/1293438/	1973/6/27	['罗杰·摩尔', '简·西摩', '亚非特·科托', 'Julius Harris', '吉奥菲·																			
007之俄罗斯之恋	7.2	5713	https://movie.douban.com/subject/1293446/	1963/10/10	['肖恩·康纳利', '丹妮拉·碧安琪', '比德洛·阿门德里兹', '罗蒂·兰雅', '罗伯特·肖																			
007之八爪女	6.8	3885	https://movie.douban.com/subject/1300324/	1983/6/10	['罗杰·摩尔', '莫德·亚当斯', '路易斯·乔丹', '克里斯蒂娜·韦伯恩', '卡伯·贝迪'																			
007之太空城	6.9	4827	https://movie.douban.com/subject/1294395/	1979/6/29	['罗杰·摩尔', '洛伊丝·奇利斯', '迈克尔·朗斯代尔', '理查德·基尔', '柯瑞妮·克莱																			
007之女王密使	6.6	4303	https://movie.douban.com/subject/1293345/	1969/12/18	['乔治·拉扎贝', '黛安娜·里格', '特利·萨瓦拉斯', '加比利艾尔·费泽蒂', '伊尔莎·																			
